battle,lat,long
TN026,36.3248,-83.369
TN027,36.1444,-83.4423
TN028,36.0472,-83.3493
TN029,35.8645,-83.5096
TN030,35.6324,-89.8487
TN031,35.1446,-90.054
TN032,36.0708,-87.9757
TN033,36.252,-83.081
TN034,35.6163,-87.0488
TN035,35.7374,-86.9323
TN036,35.9174,-86.8733
TN037,35.8689,-86.4593
TN038,36.0881,-86.8098
TX001,29.7359,-93.8711
TX002,29.3397,-94.774
TX003,29.3395,-94.767
TX005,25.9467,-97.2853
TX006,29.7205,-93.8708
VA001,36.9547,-76.3267
VA002,38.3893,-77.3157
VA003,37.0937,-76.425
VA004,38.8042,-77.4492
VA005,38.8147,-77.5227
VA006,39.1282,-77.5277
VA007,38.9955,-77.3372
VA008,36.9833,-76.3197
VA009,37.184,-76.534
VA010,37.2642,-76.6659
VA011,37.5002,-76.8423
VA012,37.4211,-77.4229
VA013,37.7222,-77.3763
VA014,37.5209,-77.3042
VA015,37.5154,-77.3292
VA016,37.5985,-77.3599
VA017,37.579,-77.2872
VA018,37.5532,-77.3145
VA019,37.5222,-77.271
VA020,37.4379,-77.2381
VA021,37.4124,-77.2509
VA022,38.4014,-78.0658
VA023,38.5272,-77.8302
VA024,38.7322,-77.5453
VA025,38.8243,-77.7148
VA026,38.8125,-77.5213
VA027,38.8645,-77.3695
VA028,38.2995,-77.4705
VA029,38.4769,-77.7799
VA030,36.7597,-76.5671
VA031,36.7149,-76.5829
VA032,38.3105,-77.6484
VA033,38.2889,-77.5309
VA034,38.2957,-77.4684
VA035,38.5018,-77.8936
VA036,38.9826,-77.6588
VA037,38.9678,-77.7597
VA038,38.9851,-77.8343
VA039,38.7,-77.7
VA040,38.7234,-77.5418
VA041,38.7021,-77.7018
VA042,38.7747,-77.692
VA043,38.533,-77.8136
VA044,38.3379,-77.8187
VA045,38.3746,-77.904
VA046,38.3164,-77.7597
VA047,37.3116,-77.4028
VA048,38.2242,-77.5981
VA049,37.1746,-80.709
VA050,37.2861,-77.4118
VA051,37.3529,-77.4122
